2026-02-06T09:52:25.166893+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci ; USER=root ; COMMAND=/usr/bin/apt install git
2026-02-06T12:42:30.329681+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
2026-02-09T09:36:56.800112+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
2026-02-09T09:42:26.995965+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
2026-02-09T09:43:07.987014+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
2026-02-09T09:45:19.547545+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
2026-02-09T09:45:38.918257+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
2026-02-09T09:47:17.356549+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
2026-02-09T09:48:36.232407+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
2026-02-09T09:49:14.516782+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
2026-02-09T09:49:38.858273+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan.txt
